,Image,F1,Jaccard,Recall,Precision
180,1437.png,0.9034193161367726,0.8238512035010941,0.9947159841479525,0.8274725274725274
181,276.png,0.961439588688946,0.9257425742574258,0.9667651403249631,0.956172388604821
182,853.png,0.9445506692160612,0.894927536231884,0.937381404174573,0.9518304431599229
183,2861.png,0.7701674277016742,0.6262376237623762,0.9980276134122288,0.6270136307311028
184,1983.png,0.0,0.0,0.0,0.0
185,789.png,0.925697503671072,0.861673045379989,0.9168121000581734,0.9347568208778173
186,2136.png,0.736796158882584,0.5832757429163787,0.8940677966101694,0.6265775798069785
187,213.png,0.9531502423263328,0.9104938271604939,0.9777462121212122,0.929761368752814
188,1496.png,0.9398176291793313,0.8864678899082569,0.9335748792270532,0.9461444308445532
189,989.png,0.9291553133514986,0.8676844783715013,0.9941690962099126,0.8721227621483376
190,1384.png,0.8090185676392573,0.6792873051224945,0.9967320261437909,0.6808035714285714
191,46.png,0.9595375722543352,0.9222222222222223,0.9973297730307076,0.9245049504950495
192,1293.png,0.8789625360230547,0.7840616966580977,0.9807073954983923,0.7963446475195822
193,567.png,0.9528042328042328,0.9098625707356508,0.9351890319900291,0.9710957722174288
194,900.png,0.6917668405534134,0.5287794729542302,0.5463991400931566,0.9425216316440049
195,239.png,0.9323671497584541,0.8733031674208145,0.9747474747474747,0.8935185185185185
196,1689.png,0.8483547925608012,0.7366459627329193,0.9236760124610592,0.7843915343915344
197,2718.png,0.8742304309586632,0.7765625,0.8416596104995766,0.909423604757548
198,432.png,0.8603238866396761,0.7548845470692718,1.0,0.7548845470692718
199,486.png,0.9502831969792322,0.9052757793764988,1.0,0.9052757793764988
200,1881.png,0.0,0.0,0.0,0.0
201,2763.png,0.5003592814371257,0.3336527711228238,0.33753433511068026,0.966682091624248
202,1365.png,0.9530434782608695,0.9102990033222591,0.9739336492890995,0.9330306469920545
203,2215.png,0.0,0.0,0.0,0.0
204,1816.png,0.9333333333333333,0.875,0.9740566037735849,0.89587852494577
205,1253.png,0.9678249678249679,0.9376558603491272,0.9920844327176781,0.9447236180904522
206,269.png,0.873015873015873,0.7746478873239436,0.9919839679358717,0.7795275590551181
207,2270.png,0.0,0.0,0.0,0.0
208,479.png,0.9338103756708408,0.8758389261744967,0.9422382671480144,0.925531914893617
